# x	y	u	v	flags	mask
5.0663e+00	1.9063e+00	4.1315e-02	-2.5158e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.6370e+00	-3.9965e-01	-2.4336e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.6370e+00	-1.6438e-01	-2.5523e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.6370e+00	-4.4765e-01	-2.6491e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.6370e+00	-2.7359e-01	-2.7584e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.6370e+00	2.0089e-02	-2.7863e+00	1.0000e+00	0.0000e+00
1.5644e+00	1.6370e+00	2.7584e-02	-2.8064e+00	1.0000e+00	0.0000e+00
1.8338e+00	1.6370e+00	3.3985e-02	-2.9449e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.6370e+00	-6.6189e-02	-2.7861e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.6370e+00	3.3530e-02	-2.9582e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.6370e+00	-4.7733e-02	-2.8026e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.6370e+00	-1.4419e-01	-2.5984e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.6370e+00	-3.5016e-01	-2.4597e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.6370e+00	-4.0041e-01	-2.5651e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.6370e+00	-3.7319e-01	-2.5415e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.6370e+00	-4.7918e-01	-2.5556e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.6370e+00	-6.7253e-02	-2.5089e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.6370e+00	-2.0907e-02	-2.5873e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.6370e+00	3.4808e-02	-2.5664e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.6370e+00	-8.7533e-03	-2.5067e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.3676e+00	6.0236e-01	-2.2640e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.3676e+00	-5.7722e-02	-2.5897e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.3676e+00	-2.3541e-01	-2.7055e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.3676e+00	-4.1401e-01	-2.6586e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.3676e+00	-1.5222e-01	-3.2151e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.3676e+00	-2.1262e-01	-2.4533e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.3676e+00	-3.5726e-03	-2.8875e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.3676e+00	-1.4519e-01	-2.6139e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.3676e+00	2.8052e-01	-2.6348e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.3676e+00	-2.1753e-02	-2.9097e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.3676e+00	2.3107e-01	-2.2385e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.3676e+00	1.4615e-01	-2.4486e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.3676e+00	-1.0003e-01	-2.6217e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.3676e+00	-2.5221e-01	-2.6477e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.3676e+00	-3.6706e-01	-2.6331e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.3676e+00	-2.7845e-01	-2.6105e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.3676e+00	-1.7524e-01	-2.6856e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.3676e+00	-1.4933e-01	-2.7271e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.3676e+00	-8.3539e-02	-2.2703e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.0982e+00	5.3469e-01	-2.6586e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.0982e+00	7.8011e-02	-2.7132e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.0982e+00	3.7387e-02	-2.8008e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.0982e+00	2.9836e-01	-2.4865e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.0982e+00	4.6454e-01	-2.5458e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.0982e+00	4.3870e-01	-2.4149e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.0982e+00	1.9434e-01	-2.7353e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.0982e+00	1.2760e-01	-2.5492e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.0982e+00	7.6416e-02	-2.7073e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.0982e+00	-9.3918e-02	-2.6028e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.0982e+00	-1.7231e-01	-2.1159e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.0982e+00	-3.6412e-01	-2.3224e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.0982e+00	-5.1212e-02	-2.7220e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.0982e+00	-3.5526e-01	-2.6587e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.0982e+00	-8.7883e-02	-2.5749e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.0982e+00	-1.8053e-02	-2.6192e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.0982e+00	4.0143e-02	-2.6087e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.0982e+00	-5.0470e-02	-2.6354e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.0982e+00	-1.3962e-01	-2.4899e+00	0.0000e+00	0.0000e+00
2.1757e-01	8.2884e-01	1.7595e-01	-2.6124e+00	1.0000e+00	0.0000e+00
4.8695e-01	8.2884e-01	1.5750e-01	-2.6276e+00	1.0000e+00	0.0000e+00
7.5632e-01	8.2884e-01	3.6925e-01	-2.7240e+00	0.0000e+00	0.0000e+00
1.0257e+00	8.2884e-01	4.4125e-01	-2.4131e+00	0.0000e+00	0.0000e+00
1.2951e+00	8.2884e-01	1.7515e-01	-2.4452e+00	0.0000e+00	0.0000e+00
1.5644e+00	8.2884e-01	3.7623e-01	-2.4927e+00	0.0000e+00	0.0000e+00
1.8338e+00	8.2884e-01	4.7554e-02	-2.6757e+00	0.0000e+00	0.0000e+00
2.1032e+00	8.2884e-01	-1.0812e-01	-2.6441e+00	0.0000e+00	0.0000e+00
2.3726e+00	8.2884e-01	-1.8876e-01	-2.6665e+00	0.0000e+00	0.0000e+00
2.6419e+00	8.2884e-01	-3.3167e-01	-2.5916e+00	0.0000e+00	0.0000e+00
2.9113e+00	8.2884e-01	-2.5480e-01	-2.4683e+00	0.0000e+00	0.0000e+00
3.1807e+00	8.2884e-01	-2.0871e-01	-2.4917e+00	0.0000e+00	0.0000e+00
